descriptor-H_s	descriptor-O_s	C3H6O_g	C3H6_g	H2O_g	H2_g
-3.5454545454545454	-4.090909090909091	9.145995223220997e-30	2.933803563125821e-27	2.9340705508793505e-27	0.0
-3.5454545454545454	-4.545454545454546	0.0	2.1430361640257545e-26	2.142788650990624e-26	1.1279100472304604e-26
-3.5454545454545454	-5.0	0.0	1.0007819810415413e-30	1.000715929917001e-30	5.2665957063123795e-31
-4.0	0.0	2.582847845807397e-44	1.6971261806089547e-33	1.103654036975557e-27	0.0
-4.0	-0.45454545454545503	0.0	4.9538421550407927e-39	2.1828186560563613e-33	0.0
-4.0	-0.9090909090909092	0.0	5.667907646649502e-37	1.1577067169597857e-31	0.0
-4.0	-1.3636363636363638	0.0	6.484289358468241e-35	1.1582697119806154e-31	0.0
-4.0	-1.8181818181818183	0.0	7.403288811421609e-33	1.1564944696259238e-31	0.0
-4.0	-2.272727272727273	0.0	1.2375716681555332e-31	1.2389345318468406e-31	0.0
-4.0	-2.7272727272727275	0.0	0.0	1.7253499105669098e-42	2.268407686091588e-35
-4.0	-3.1818181818181817	0.0	2.613190050636373e-36	2.7807501626532123e-39	0.0
-4.0	-3.6363636363636367	5.579541097992647e-35	1.4668149927535868e-29	1.467360469721238e-29	0.0
-4.0	-4.090909090909091	7.887852113278765e-28	1.2757512245419455e-26	1.2760519007151634e-26	0.0
-4.0	-4.545454545454546	0.0	3.746866486875966e-28	3.7466810162844005e-28	1.9722823005854036e-28
-4.0	-5.0	0.0	1.7497588226027314e-32	1.7497588226027171e-32	9.209256960146006e-33
